,channel,date,min,max,mean,stDev
87,0,8/14/2018,0.312286675,0.407253891,0.37442301,0.014164015
86,0,8/19/2018,0.026541168,0.045302156,0.036678419,0.003140352
85,0,8/24/2018,0.01811053,0.488038272,0.145548782,0.131842342
84,0,8/29/2018,0.268863827,0.349968821,0.312614034,0.01362807
83,0,9/3/2018,0.32825321,0.649601221,0.50096007,0.043213383
82,0,9/8/2018,0.121856868,0.655801833,0.381263651,0.085261036
81,0,9/13/2018,0.191001132,0.550764203,0.3016857,0.064439317
80,0,9/18/2018,-0.062898815,0.078534834,0.000177214,0.025676935
79,0,9/28/2018,-0.028679937,0.040609803,0.014229635,0.012785637
78,0,10/3/2018,-0.002792646,0.367325693,0.13482383,0.053058359
77,0,10/8/2018,0.001909264,0.016102768,0.00937174,0.002382472
76,0,10/13/2018,0.036541786,0.066684134,0.047500906,0.004650767
75,0,10/18/2018,-0.126203746,0.526876152,0.113069522,0.084472004
74,0,10/23/2018,0.02859511,0.160650536,0.081005304,0.017869231
73,0,10/28/2018,-0.074170277,0.346517622,0.079993272,0.06072917
72,0,11/2/2018,0.023590205,0.112484023,0.074448053,0.017646689
71,0,11/7/2018,0.117399618,0.161338851,0.137936339,0.006802788
70,0,11/12/2018,0.102204412,0.306172848,0.14807396,0.034389634
69,0,11/17/2018,-0.072092049,0.05945196,-0.001275337,0.017097455
68,0,11/22/2018,0.104500979,0.594921052,0.23846256,0.078721145
67,0,11/27/2018,0.22081922,0.438025802,0.299816591,0.038819646
66,0,12/2/2018,0.148057058,0.685609281,0.406794177,0.109582376
65,0,12/7/2018,0.238719061,0.571048737,0.399520128,0.062581513
64,0,12/12/2018,0.253150672,0.398009956,0.33618684,0.024446467
63,0,12/17/2018,0.392609686,0.732409954,0.619589908,0.059865011
62,0,12/22/2018,-0.062402684,0.054222405,-0.005343906,0.01753555
61,0,12/27/2018,0.017903734,0.781234801,0.211119341,0.202339302
60,0,1/1/2019,0.267034978,0.669421494,0.459351854,0.076641026
59,0,1/6/2019,0.442228556,0.809853554,0.752330968,0.041335482
58,0,1/11/2019,0.508816123,0.779735684,0.72710042,0.049995878
57,0,1/16/2019,0.438974112,0.74270165,0.667836224,0.054392013
56,0,1/21/2019,0.12109331,0.4138439,0.25447121,0.072869201
55,0,1/26/2019,0.365320981,0.739198744,0.622335188,0.077487748
54,0,1/31/2019,0.486368239,0.747747719,0.672252407,0.042126908
53,0,2/5/2019,0.006435006,0.034042552,0.023086655,0.004860916
52,0,2/10/2019,0.468992233,0.700468957,0.605763515,0.044701091
51,0,2/15/2019,0.34119311,0.611473262,0.49194393,0.046601631
50,0,2/20/2019,0.346477062,0.581891596,0.451776212,0.043878181
49,0,2/25/2019,0.254065573,0.504278064,0.346192528,0.041619017
48,0,3/2/2019,0.170294002,0.452981651,0.272731146,0.043506354
47,0,3/7/2019,0.016149068,0.129638106,0.050922318,0.016627033
46,0,3/12/2019,0.187185928,0.35128966,0.223236832,0.027983099
45,0,3/17/2019,-0.008104692,0.173898637,0.05602205,0.044440782
44,0,3/22/2019,0.12750949,0.488934785,0.242470992,0.065331872
43,0,3/27/2019,0.139957711,0.45590511,0.2470655,0.056348087
42,0,4/1/2019,0.021577884,0.294613898,0.139474296,0.050809339
41,0,4/6/2019,-0.057815846,0.215316311,0.071679645,0.041208951
40,0,4/11/2019,0.077239357,0.199004978,0.1235144,0.020349718
39,0,4/16/2019,0.008708273,0.351944178,0.110069058,0.067173181
38,0,4/21/2019,0.102790013,0.237960339,0.154460421,0.024473415
37,0,4/26/2019,0.005261092,0.016818002,0.011150575,0.001852769
36,0,5/1/2019,0.014647887,0.220945939,0.084963128,0.034049592
35,0,5/6/2019,0.023218142,0.452805102,0.113856963,0.05284934
34,0,5/11/2019,-0.066173755,0.297177076,0.075668837,0.052544394
33,0,5/16/2019,0.007291667,0.352744639,0.098436564,0.038514067
32,0,5/21/2019,0.027504046,0.09098725,0.065462597,0.007709985
31,0,5/26/2019,0.107344635,0.483904749,0.208342622,0.048712109
30,0,5/31/2019,0.119580008,0.255836576,0.185642778,0.026185122
29,0,6/5/2019,0.209876537,0.572420895,0.376797222,0.070764365
28,0,6/10/2019,0.073769458,0.114430591,0.097565889,0.007169496
27,0,6/15/2019,0.301425666,0.56892401,0.442931358,0.047177219
26,0,6/20/2019,0.023534169,0.04309703,0.031654868,0.003359795
25,0,6/25/2019,0.155213833,0.194577619,0.175438313,0.007253538
24,0,6/30/2019,0.294819087,0.409933001,0.37760367,0.016049408
23,0,7/5/2019,0.277692139,0.385253638,0.343947547,0.019054853
22,0,7/10/2019,-0.072550029,0.112584539,0.027252296,0.021772972
21,0,7/15/2019,0.013799244,0.155176803,0.102267069,0.029299287
20,0,7/20/2019,0.026398055,0.044257022,0.035709543,0.002683158
19,0,7/25/2019,0.128040731,0.721952319,0.403340919,0.121609232
18,0,7/30/2019,0.435980558,0.565761983,0.514447402,0.017782404
17,0,8/4/2019,0.015374621,0.158544719,0.080255697,0.037529335
16,0,8/9/2019,-0.016125947,-0.003527224,-0.009736276,0.001892919
15,0,8/14/2019,0.135605872,0.680130541,0.424458613,0.131546699
14,0,8/19/2019,0.368094087,0.623426199,0.511496373,0.037777832
13,0,8/24/2019,-0.018733274,0.025182916,0.008641254,0.005808101
12,0,8/29/2019,0.3081761,0.543737948,0.40621329,0.052869413
11,0,9/3/2019,0.274079591,0.648508191,0.392339033,0.050425147
10,0,9/8/2019,0.235335037,0.600246251,0.373665395,0.046738024
9,0,9/13/2019,-0.044130206,0.114962786,0.038950629,0.031892316
8,0,9/18/2019,-0.115094125,0.238120943,0.06352559,0.05595826
7,0,9/23/2019,-0.03408495,0.001020755,-0.012273287,0.007221428
6,0,9/28/2019,0.141512841,0.235735103,0.174890502,0.020230742
5,0,10/3/2019,0.023682199,0.389991373,0.179042438,0.075009681
4,0,10/8/2019,0.031564809,0.110685401,0.07386165,0.016053647
3,0,10/13/2019,0.00270514,0.664145231,0.210177922,0.122308003
2,0,10/18/2019,-0.074452557,0.631700277,0.121845755,0.07848916
1,0,10/23/2019,0.0740944,0.384179175,0.152573283,0.040676715
0,0,10/28/2019,0.01652357,0.028164454,0.022687165,0.001984249
