,Unnamed: 0,channel,date,min,max,mean,stDev,Ticks,Rolling_mean
17,160,0,2017-01-01,0.4255916476249695,0.6329150795936584,0.5618025027042219,0.04253796702180088,17,0.1847698671224291
18,159,0,2017-01-31,0.4802694916725159,0.7071219086647034,0.6282693797303721,0.041099042398418516,18,0.24567304669311074
19,158,0,2017-02-10,0.4079785346984863,0.6927727460861206,0.5583226169726643,0.049394319292528764,19,0.3000379506656707
20,157,0,2017-03-02,0.1228167489171028,0.4473971724510193,0.2643855653876477,0.06149068816153725,20,0.30843708460320507
21,156,0,2017-03-22,0.2109617441892624,0.4389221668243408,0.2944470250560333,0.04352721729067235,21,0.33922552480153895
22,155,0,2017-04-11,0.03128620982170105,0.0614422932267189,0.04656696987244508,0.004927893425282539,22,0.34148598457838214
23,154,0,2017-05-01,0.0015201645437628029,0.3405211269855499,0.11296584346699867,0.07663756227491292,23,0.34539869046300764
24,153,0,2017-05-21,0.05666624382138252,0.08976118266582489,0.07074824644960173,0.005625786478079317,24,0.33703862097821835
25,152,0,2017-06-10,-0.21903614699840546,0.21641790866851807,0.023372218265843882,0.057403206077418986,25,0.3110656900435688
26,151,0,2017-06-30,-0.040551405400037766,0.2810891568660736,0.07856372124857282,0.06145798981821229,26,0.26394440891544
27,150,0,2017-07-15,0.24126899242401126,0.3802696466445923,0.3231697134962374,0.025429518911511642,27,0.24008112999464157
28,149,0,2017-07-20,0.3075170814990997,0.7283040285110474,0.4911175318466605,0.11270874293117662,28,0.22636594520627043
29,148,0,2017-08-04,0.198116272687912,0.4323212504386902,0.3097777494857477,0.04083548694612631,29,0.20151145845757873
30,147,0,2017-08-09,0.0031834135297685857,0.10863697528839113,0.030607079890332838,0.020457904946384674,30,0.17813360990784727
31,146,0,2017-08-24,-0.022534988820552826,0.04239360988140106,0.0068407748445242274,0.009861058652297094,31,0.14937298488669634
32,145,0,2017-08-29,0.2501973211765289,0.775303304195404,0.4988800773786945,0.13192912954872585,32,0.1946042956373213
33,144,0,2017-09-13,-0.03824810683727264,0.0029427662957459693,-0.018617475036551548,0.008285199130595009,33,0.18144596378696626
34,143,0,2017-09-18,0.06470517814159392,0.09858467429876328,0.0827121770197107,0.006374928550819972,34,0.18264235684397717
35,142,0,2017-10-03,0.18137255311012268,0.7588257193565369,0.4062390937823655,0.11314636706994087,35,0.22092904439562938
36,141,0,2017-10-08,0.03515861928462982,0.17886696755886078,0.08156646361300192,0.02794809670228931,36,0.22122931863207226
37,140,0,2017-10-23,-0.02062780223786831,0.6588894128799438,0.17823819224542214,0.08201869191156742,37,0.20673616650699075
38,139,0,2017-10-28,0.03737957775592804,0.6703112125396729,0.2045268340166224,0.08170085492059981,38,0.17807709672398694
39,138,0,2017-11-02,-0.01558265555649996,0.025202717632055286,0.0016680742876695345,0.007666978207496271,39,0.14726612920417914
40,137,0,2017-11-12,0.07896528393030168,0.4319978058338165,0.1439484824159349,0.02989686094875424,40,0.15860026945673936
41,136,0,2017-11-17,0.04327113926410675,0.5861365795135498,0.16925224351675014,0.053504587647423316,41,0.17484141632396194
42,135,0,2017-11-22,0.08396946638822557,0.4341060519218445,0.1769764739067053,0.0358814113990893,42,0.142651055976763
43,134,0,2017-12-02,-0.05350513383746147,0.05830670893192291,-0.0033983884409274022,0.016018498240495598,43,0.1441729646363254
44,133,0,2017-12-07,0.12577833235263824,0.5340477228164673,0.31779427757096834,0.0726895319771459,44,0.16768117469145116
45,132,0,2017-12-12,-0.005582773126661778,0.2728642523288727,0.08749606838520242,0.04827812905464464,45,0.13580687215173487
46,131,0,2017-12-22,0.32175689935684204,0.7552363872528076,0.5965204710646194,0.08748238811154997,46,0.1873022728968966
47,130,0,2017-12-27,0.35942596197128296,0.7265238761901855,0.6294123491575552,0.06486650644520342,47,0.23241968858810994
