,date,mean,stDev,Rolling_mean
19,2018-05-01,0.1331128481948792,0.04907069973377798,0.2589340412952902
32,2018-06-20,0.25857809821302524,0.03484585016940552,0.1171019297335967
33,2018-06-25,0.3239239919786304,0.03726071637891266,0.12257487499150252
34,2018-07-05,0.3208143919359808,0.11328045702662895,0.1264083174333329
54,2018-08-14,0.374423009850258,0.014164014706692887,0.13011289452593713
55,2018-08-29,0.3126140335271527,0.013628069914347613,0.15439445084474943
