,mean
0,0.13323974609375
1,0.149688720703125
2,0.18695068359375
3,0.23638916015625
4,0.2894287109375
5,0.33770751953125
6,0.372772216796875
7,0.385986328125
8,0.369049072265625
9,0.313262939453125
